"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_45655"
1,1,1,1,1,1,1,1,2,0.828917108289171,1,1,1,1,1,1,0,0,0,0,2,0.991700091004078,"INHS_FISH_45686"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_46162"
1,1,0,0,1,1,1,1,2,0.557262021589794,1,1,1,1,1,1,0,0,0,0,2,0.976894023550322,"INHS_FISH_46357"
1,1,0,0,1,1,0,0,2,0.635429262394196,1,1,1,1,2,0.98532055122828,0,0,0,0,2,0.993657165351711,"INHS_FISH_46468"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_46547"
1,1,1,1,1,1,2,0.996606218504679,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_47012"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988243857733577,"INHS_FISH_47082"
1,1,0,0,2,0.999869991419434,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.976633060070955,"INHS_FISH_47084"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_47091"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_47856"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_48404"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.972422675344594,"INHS_FISH_48405"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_48421"
1,1,0,0,1,1,1,1,1,1,2,0.998754497647384,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_48601"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_48618"
1,1,2,0.875776397515528,1,1,1,1,1,1,2,0.979480250133551,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_48641"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_49726"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_49736"
1,1,0,0,1,1,1,1,2,0.747777017783858,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_49923"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_50050"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_50068"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_50071"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.975890178727088,"INHS_FISH_50103"
1,1,0,0,3,0.999061459723424,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_50104"
1,1,0,0,3,0.999188814174405,1,1,2,0.969918308505526,1,1,1,1,1,1,0,0,0,0,2,0.991917579075426,"INHS_FISH_50378"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.981304071383156,"INHS_FISH_51451"
1,1,7,0.396694214876033,1,1,1,1,2,0.760261133734083,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_51491"
1,1,5,0.965718857705564,2,0.999510170409137,1,1,4,0.972797356828194,1,1,1,1,1,1,0,0,0,0,2,0.977304270135974,"INHS_FISH_51678"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_51799"
1,1,3,0.984409977614327,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_51878"
1,1,1,1,1,1,1,1,3,0.718160574194625,2,0.993360125808143,1,1,1,1,0,0,0,0,2,0.957200542896403,"INHS_FISH_52831"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_53960"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_53966"
1,1,1,1,1,1,2,0.998708844415752,1,1,1,1,1,1,1,1,0,0,0,0,2,0.989676599003137,"INHS_FISH_54290"
1,1,2,0.997587454764777,1,1,5,0.911196911196911,2,0.660428336079077,2,0.986219081272085,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_54292"
1,1,0,0,1,1,1,1,1,1,2,0.999687581359021,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_54294"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_54317"
1,1,0,0,1,1,0,0,2,0.593832760037746,0,0,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_54318"
1,1,3,0.5,1,1,4,0.643312101910828,2,0.633876841582519,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_54319"
