"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_107855",1642,1641.31,350,349.21,78,79.62,123,123.63,208,9842,66419,0,1.12,393.956,"cm",-1.52
"INHS_FISH_107909",734,733.27,201,200.64,50,51.92,64,63.13,100,2798,17506,0,1.56,NA,"None",14.75
"INHS_FISH_108021",1095,1094.12,276,275.03,77,78.26,92,91.66,145,5585,32746,-0.01,0.84,NA,"None",4.62
"INHS_FISH_108252",1202,1201,294,295.72,79,79.4,99,98.05,164,6533,40525,-0.01,-0.14,394.532,"cm",3.41
"INHS_FISH_108579",1569,1568,402,401.08,110,111.31,132,131,217,11711,73823,-0.02,-0.04,394.979,"cm",4.27
"INHS_FISH_108622",950,949.54,239,240.42,51,52.89,81,81.05,125,5119,26347,0,-1.93,390.816,"cm",-1.73
"INHS_FISH_108738",1018,1017.18,252,252.14,63,63,87,86.21,140,5342,30975,0,1.07,NA,"None",7.32
"INHS_FISH_108840",1135,1134.09,274,273.31,70,70.18,97,96.05,153,6198,34746,0.03,0.71,NA,"None",8
"INHS_FISH_108901",1656,1655.27,404,403.36,116,116.16,125,124.04,223,10037,72716,0,-1.04,394.334,"cm",6.47
"INHS_FISH_109174",1772,1771.02,402,402.61,90,90.09,121,120.42,191,10645,67655,0,-0.26,377.93,"cm",5.82
"INHS_FISH_109176",1971,1970.12,445,446.7,120,127.47,135,134.01,225,12548,85847,0,-0.64,378.174,"cm",-2.89
"INHS_FISH_109178",1909,1908.4,452,451.75,122,123.79,132,131.55,238,12876,95886,0,-1.17,379.248,"cm",-1.79
"INHS_FISH_109180",2019,2018.98,448,448.79,122,139.67,144,143,252,13502,93777,0,-1.79,378.365,"cm",-0.38
"INHS_FISH_109181",2204,2203.09,482,481.81,132,136.31,128,127,265,13272,111700,-0.01,-0.52,378.773,"cm",-0.76
"INHS_FISH_109184",1786,1785.14,405,404.9,104,104.58,123,122.04,207,10273,73784,0,0.71,378.214,"cm",3.57
"INHS_FISH_109190",2255,2254,517,516.47,142,151.22,132,131.06,264,12737,118496,0,-0.05,377.636,"cm",3.25
"INHS_FISH_109191",2414,2413.09,520,519.25,152,157.18,145,146.7,288,15424,130015,0,-0.5,381.082,"cm",1.79
"INHS_FISH_109193",1232,1231.32,261,260.32,45,46.32,101,101.43,40,8014,27100,0,-1.3,378.865,"cm",5.07
"INHS_FISH_109198",2380,2379.13,660,663.37,137,137.23,157,157.04,289,18251,139239,0,-0.6,378.904,"cm",-4.08
"INHS_FISH_109201",1914,1913.32,430,435.17,101,101.12,139,138.06,211,12988,81596,0,1.05,376.145,"cm",-0.7
"INHS_FISH_109204",1436,1435.13,312,312.54,81,84.48,89,90.96,163,6376,45450,0,0.76,NA,"None",3.2
"INHS_FISH_109205",1959,1958.2,463,462.35,128,130.61,159,158.05,249,17842,96171,0,-0.82,379.871,"cm",-0.28
"INHS_FISH_109206",1555,1554.02,358,357.14,91,101.08,111,110.37,197,6833,57043,0,-0.29,379.732,"cm",0.57
